user_id,nome,email,cpf,idade,genero,estado_civil,estado,renda_mensal,canal_preferido,frequencia_compras_ult_12m,ticket_medio,dias_desde_ultima_compra,tem_cartao_fidelidade,score_engajamento,comprou_ult_3m
U020,Sra. Eva Barbosa,sraevaba20@example.net,475.107.991-39,62,F,casado,PE,4817.72,whatsapp,4,75.94,189,True,0.5,1
U021,Dr. Lívia Souza,,542.784.980-71,56,Outro,divorciado,RO,7618.16,app,9,353.88,104,False,0.35,1
U022,Dr. Igor Souza,drigorso22@example.com,824.493.534-02,59,Outro,viúvo,GO,2390.39,app,8,181.72,212,True,0.45,1
U023,Yasmin Almeida,yasminal23@example.org,005.242.786-28,47,Outro,solteiro,AM,786.17,app,3,304.2,187,True,0.18,1
U024,Dr. Sofia Silva,drsofias24@example.org,982.620.450-17,54,M,casado,RO,2945.98,site,5,437.77,60,True,0.16,1
U025,Lívia Martins,lviamart25@example.net,692.322.602-39,18,Outro,divorciado,SE,6015.28,email,6,417.15,8,False,0.25,1
U026,Dr. Igor Oliveira,drigorol26@example.net,160.733.754-17,60,F,casado,AC,1957.02,site,8,287.51,162,False,0.23,1
U027,Sra. Kaio Pereira,srakaiop27@example.com,458.685.014-03,34,F,divorciado,AL,4021.49,app,1,20.83,16,False,0.19,1
U028,Sra. Lívia Araujo,sralviaa28@example.org,698.169.340-27,24,Outro,viúvo,AC,6460.59,site,3,248.23,228,False,0.5,0
U029,Sr. Nina Souza,srninaso29@example.net,595.148.465-08,18,M,divorciado,PI,5946.45,site,4,244.27,26,True,0.63,0
U030,Dr. Nina Barbosa,drninaba30@example.org,299.468.044-09,48,F,viúvo,SE,4159.36,whatsapp,8,244.26,147,False,0.67,0
U031,Sra. Otávio Mendes,sraotvio31@example.net,387.214.895-80,53,F,casado,RO,5099.53,whatsapp,6,224.82,274,True,0.52,0
U032,Dr. Gustavo Oliveira,drgustav32@example.com,037.917.693-91,51,Outro,viúvo,PR,5614.51,email,12,157.82,173,False,0.61,0
U033,Dr. Eva Barbosa,drevabar33@example.net,016.328.708-27,59,F,solteiro,PB,1203.47,site,4,173.66,0,True,0.79,1
U034,Sra. Zeca Castro,srazecac34@example.net,957.986.872-79,60,Outro,viúvo,PB,4679.06,whatsapp,1,301.36,173,True,0.13,1
U035,Dr. Yasmin Pereira,dryasmin35@example.net,734.714.345-42,63,M,solteiro,BA,4155.58,site,5,216.59,44,False,0.58,0
U036,Dr. Marcos Araujo,drmarcos36@example.com,316.658.760-85,74,F,viúvo,MG,190.33,app,7,138.98,176,False,0.42,1
U037,Sra. Paula Silva,srapaula37@example.org,466.889.373-01,39,M,viúvo,PR,3947.25,app,6,300.12,124,False,0.17,1
U038,Sra. Kaio Barbosa,srakaiob38@example.net,627.298.069-89,57,Outro,solteiro,AP,4838.35,email,2,152.04,135,True,0.07,1
U039,Dr. Otávio Oliveira,drotvioo39@example.com,465.375.564-73,47,M,divorciado,TO,2418.57,app,10,61.79,17,False,0.22,1
U040,Sra. Ana Araujo,sraanaar40@example.net,053.100.330-25,31,Outro,casado,ES,3460.43,site,5,57.73,163,True,0.41,1
U041,Sra. Zeca Souza,srazecas41@example.net,374.529.912-49,60,M,solteiro,RJ,5784.88,app,4,292.27,70,False,0.53,0
U042,Sr. Thiago Barbosa,srthiago42@example.org,631.931.491-52,41,Outro,solteiro,MS,7399.69,email,7,322.94,0,False,1.5,0
U043,Sr. Carla Castro,srcarlac43@example.net,506.716.572-32,24,M,casado,SC,1384.79,whatsapp,5,330.47,145,False,0.13,1
U044,Sra. Otávio Almeida,sraotvio44@example.net,945.314.737-01,72,Outro,viúvo,MT,2875.64,app,9,101.98,186,False,0.39,1
U045,Sra. Kaio Oliveira,srakaioo45@example.org,354.549.480-20,51,Outro,casado,AP,5970.2,site,8,204.94,86,False,0.32,0
U046,Sra. Paula Castro,srapaula46@example.com,777.014.363-24,34,M,divorciado,PR,323.36,whatsapp,4,136.3,115,True,0.7,0
U047,Sra. Sofia Rodrigues,srasofia47@example.org,744.431.351-20,31,Outro,casado,DF,4475.44,site,2,234.72,22,True,0.14,0
U048,Sra. Igor Araujo,sraigora48@example.net,894.134.352-60,31,M,solteiro,RR,394.67,site,5,125.66,155,True,0.42,0
U049,Sr. Bruno Silva,srbrunos49@example.net,427.109.477-30,71,M,divorciado,CE,5952.61,app,6,371.7,263,True,0.62,1
U050,Sr. Paula Souza,srpaulas50@example.com,671.902.294-69,49,F,casado,AM,8187.76,email,8,336.43,147,True,0.12,1
U051,Dr. Rafa Almeida,drrafaal51@example.org,749.649.909-90,35,Outro,solteiro,SP,6946.6,site,5,267.25,15,False,0.19,0
U052,Dr. Igor Barbosa,drigorba52@example.com,232.812.067-94,50,Outro,viúvo,MA,4579.58,app,5,306.95,22,False,0.24,0
U053,Dr. Júlia Araujo,drjliaar53@example.org,713.493.618-01,53,F,casado,GO,2549.34,site,8,190.65,140,False,0.25,1
U054,Bruno Oliveira,brunooli54@example.org,994.717.464-69,44,Outro,viúvo,PB,2449.03,app,6,263.49,122,True,0.2,1
U055,Nina Araujo,ninaarau55@example.org,940.139.904-23,57,Outro,solteiro,SP,2890.18,site,3,488.61,122,False,0.64,0
U056,Sra. Rafa Barbosa,srarafab56@example.org,429.671.756-17,50,M,divorciado,RO,3226.92,app,6,300.39,153,False,0.21,0
U057,Dr. Kaio Almeida,drkaioal57@example.net,746.807.154-30,45,M,solteiro,SP,2084.08,email,4,346.91,125,True,0.08,1
U058,Zeca Rocha,zecaroch58@example.net,760.385.977-86,35,F,casado,GO,4906.01,site,6,0.0,16,False,0.28,0
U059,Sr. Otávio Araujo,srotvioa59@example.org,109.324.808-45,24,M,solteiro,ES,3283.17,app,8,232.95,17,False,0.52,0
U060,Sra. Diego Barbosa,sradiego60@example.com,748.467.737-01,28,Outro,casado,MG,6277.33,site,6,155.96,129,True,0.13,0
U061,Dr. Carla Pereira,drcarlap61@example.org,584.044.997-05,65,F,viúvo,PI,4636.28,email,6,249.45,195,True,0.41,0
U062,Sr. Kaio Castro,srkaioca62@example.net,675.339.636-52,73,F,divorciado,SC,3859.74,email,8,424.46,81,True,0.66,1
U063,Sra. Marcos Barbosa,sramarco63@example.net,270.289.517-40,48,F,viúvo,AC,4302.49,site,0,96.23,99,True,0.24,0
U064,Sra. Yasmin Oliveira,srayasmi64@example.com,745.961.586-22,46,M,viúvo,PI,5610.27,app,8,348.27,149,True,0.45,1
U065,Helena Barbosa,helenaba65@example.net,431.611.724-69,43,F,solteiro,MT,3630.98,app,9,252.89,61,False,0.31,1
U066,Sr. Lívia Rodrigues,srlviaro66@example.org,238.692.221-90,25,Outro,viúvo,RN,5861.25,site,2,199.91,12,False,0.19,0
U067,Sra. Thiago Oliveira,srathiag67@example.com,123.456.789-00,33,F,viúvo,MS,5111.78,whatsapp,8,402.52,136,True,0.37,0
U068,Sra. Igor Mendes,sraigorm68@example.org,367.136.959-06,38,M,divorciado,AC,5950.22,email,11,235.51,128,True,0.55,0
U069,Sr. Ana Gomes,sranagom69@example.net,097.439.533-10,35,Outro,divorciado,RO,5300.51,site,5,131.36,156,True,0.65,0
U070,Yasmin Barbosa,yasminba70@example.com,470.952.145-06,43,Outro,viúvo,CE,2856.82,site,6,311.91,124,False,0.65,0
U071,Dr. Sofia Rodrigues,drsofiar71@example.net,842.474.517-58,26,F,casado,SP,3427.04,site,9,395.61,169,True,0.67,1
U072,Sra. Sofia Rodrigues,,604.817.549-38,69,M,divorciado,AM,6846.42,site,7,216.65,148,False,0.2,1
U073,Sra. Ana Gomes,sraanago73@example.net,593.174.612-98,23,F,solteiro,MA,4013.72,email,7,240.21,223,True,0.41,0
U074,Diego Santos,diegosan74@example.net,123.456.789-00,35,Outro,solteiro,TO,897.22,email,3,213.89,201,True,0.43,1
U075,Sra. Igor Silva,sraigors75@example.net,537.735.158-47,28,Outro,divorciado,AL,4699.1,email,9,554.89,264,True,0.5,0
U076,Sr. Gustavo Souza,srgustav76@example.org,139.005.329-66,34,F,solteiro,TO,4347.27,site,8,258.72,9,True,0.25,0
U077,Dr. Helena Rodrigues,drhelena77@example.com,904.228.421-84,65,Outro,solteiro,BA,4038.02,app,3,148.82,238,True,0.25,0
U078,Sr. Helena Gomes,srhelena78@example.org,024.026.811-36,55,M,viúvo,SP,3286.42,whatsapp,3,366.41,80,False,0.85,0
U079,Otávio Castro,otviocas79@example.com,908.470.076-77,44,M,solteiro,PR,2348.35,email,7,190.8,164,False,0.67,0
U080,Carla Rodrigues,carlarod80@example.net,212.499.856-09,34,Outro,divorciado,PB,4655.71,email,4,446.23,222,False,0.26,0
U081,Diego Rocha,diegoroc81@example.net,836.736.576-31,39,M,solteiro,MT,1246.15,email,7,352.94,116,False,0.52,0
U082,Sr. Zeca Pereira,srzecape82@example.org,271.111.615-80,62,F,solteiro,RJ,4410.79,whatsapp,7,304.77,70,False,0.21,0
U083,Nina Rodrigues,ninarodr83@example.net,604.945.198-27,37,F,casado,RO,592.89,email,2,290.05,13,False,0.28,0
U084,Dr. Diego Rodrigues,drdiegor84@example.net,514.936.899-75,42,Outro,solteiro,RN,667.44,whatsapp,8,333.71,180,False,0.5,0
U085,Felipe Pereira,felipepe85@example.net,455.022.961-64,25,F,solteiro,AP,2376.0,site,5,305.13,1,True,0.67,0
U086,Sra. Nina Mendes,sraninam86@example.org,254.599.102-34,25,F,solteiro,RO,6241.44,app,4,131.03,190,True,0.23,1
U087,Sr. Otávio Barbosa,srotviob87@example.org,797.643.815-88,74,M,solteiro,MA,4115.15,email,6,172.13,193,False,0.29,0
U088,Sr. Bruno Santos,srbrunos88@example.org,900.343.244-96,34,M,solteiro,AC,7943.32,email,6,52.01,188,True,0.5,1
U089,Sra. Felipe Oliveira,srafelip89@example.org,838.851.606-09,25,F,viúvo,AP,1773.44,whatsapp,12,49.75,127,False,0.54,1
U090,Sra. Thiago Almeida,srathiag90@example.net,641.605.297-04,65,Outro,divorciado,AP,3523.4,email,7,221.12,103,False,0.22,0
U091,Helena Almeida,helenaal91@example.net,681.645.352-22,55,F,solteiro,PE,5423.76,site,7,376.54,122,False,0.29,1
U092,Sr. Lívia Araujo,srlviaar92@example.net,231.243.292-79,27,Outro,solteiro,CE,5983.97,email,5,63.74,138,False,0.9,0
U093,Sra. Thiago Martins,srathiag93@example.net,799.552.717-95,70,M,divorciado,SE,5149.07,whatsapp,5,223.21,72,True,0.34,0
U094,Lívia Castro,lviacast94@example.com,477.005.411-40,43,Outro,viúvo,PB,8639.26,app,10,88.74,21,False,0.41,1
U095,Sra. Thiago Barbosa,srathiag95@example.com,597.820.715-10,59,Outro,solteiro,PE,8272.8,site,7,162.86,190,True,0.13,0
U096,Helena Araujo,helenaar96@example.org,788.925.546-20,58,M,divorciado,RO,2570.94,app,7,419.02,146,False,0.74,0
U097,Sr. Carla Rodrigues,srcarlar97@example.com,864.492.519-99,28,Outro,casado,MS,4622.24,whatsapp,8,107.84,99,True,0.4,0
U098,Sra. Eva Gomes,sraevago98@example.net,148.652.816-30,58,Outro,divorciado,AC,657.55,whatsapp,6,349.91,14,True,0.24,0
U099,Sr. Felipe Santos,srfelipe99@example.org,733.221.418-02,60,Outro,solteiro,RO,6954.93,whatsapp,5,173.08,73,True,0.41,0
U100,Dr. Vera Almeida,drveraal100@example.com,229.270.653-90,16,M,divorciado,SP,4237.54,email,7,347.57,6,False,0.34,1
U101,Dr. Sofia Santos,drsofias101@example.org,735.977.468-37,65,Outro,viúvo,CE,4552.96,site,4,326.02,63,True,0.8,0
U102,Dr. Igor Silva,drigorsi102@example.net,758.181.412-25,50,M,viúvo,PE,2004.4,site,10,411.74,6,True,0.27,1
U103,Sra. Carla Santos,sracarla103@example.org,506.068.536-50,48,F,divorciado,ES,5018.79,app,5,46.76,145,False,0.24,0
U104,Sr. Diego Rocha,srdiegor104@example.net,522.047.277-17,40,Outro,solteiro,AP,6537.69,app,5,277.51,118,False,0.75,1
U105,Sr. Gustavo Rocha,srgustav105@example.com,898.614.341-00,28,F,casado,PA,1851.99,email,6,400.34,105,False,0.15,1
U106,Diego Rocha,diegoroc106@example.org,980.893.246-06,32,F,divorciado,ES,1679.08,email,10,260.24,142,False,0.53,0
U107,Dr. Zeca Barbosa,drzecaba107@example.com,851.888.880-84,32,M,viúvo,AL,1592.91,email,4,136.95,76,False,0.5,0
U108,Sr. Igor Araujo,srigorar108@example.com,515.319.520-11,65,M,divorciado,TO,6071.5,site,6,309.23,82,True,0.7,1
U109,Sra. Paula Barbosa,srapaula109@example.com,217.043.030-01,24,M,divorciado,PE,314.33,email,8,246.42,38,False,0.49,0
U110,Sra. Igor Silva,sraigors110@example.net,345.054.156-00,25,M,viúvo,MG,1984.16,whatsapp,3,147.14,77,True,0.41,0
U111,Dr. Paula Araujo,drpaulaa111@example.org,584.161.692-76,71,Outro,divorciado,MT,3570.28,app,5,437.29,160,False,0.23,1
U112,Kaio Barbosa,kaiobarb112@example.org,479.627.570-35,29,Outro,divorciado,RN,6107.14,email,9,118.86,57,True,0.43,0
U113,Sr. Yasmin Martins,sryasmin113@example.com,165.820.297-03,74,F,casado,AP,2848.04,site,10,125.43,236,True,0.43,1
U114,Sr. Lívia Almeida,srlviaal114@example.net,092.755.719-37,47,F,divorciado,MG,5042.79,whatsapp,2,292.86,95,True,0.1,1
U115,Sr. Helena Souza,srhelena115@example.com,278.681.447-26,73,F,divorciado,RR,4428.53,email,10,292.86,119,True,0.33,0
U116,Dr. Diego Oliveira,drdiegoo116@example.com,727.155.188-38,37,M,divorciado,CE,706.16,site,10,125.92,153,False,0.45,1
U117,Sr. Rafa Santos,srrafasa117@example.com,323.705.895-58,64,M,casado,RN,3442.82,app,4,263.92,30,True,0.41,0
U118,Júlia Almeida,jliaalme118@example.net,786.691.251-37,57,M,viúvo,RO,5355.23,whatsapp,3,92.36,172,True,0.12,0
U119,Dr. Sofia Barbosa,drsofiab119@example.net,226.801.824-56,49,F,casado,MT,5721.34,site,7,347.58,264,True,0.51,1
U120,Sr. Rafa Pereira,srrafape120@example.com,438.424.981-01,38,Outro,casado,RJ,885.79,site,8,228.03,73,True,0.15,1
U121,Dr. Zeca Gomes,drzecago121@example.net,959.001.094-61,42,Outro,casado,SP,5585.29,telefone,3,277.68,82,True,0.39,1
U122,Paula Barbosa,paulabar122@example.net,447.364.710-26,21,F,viúvo,PA,0.0,email,4,383.23,33,False,0.76,1
U123,Sra. Gustavo Rodrigues,sragusta123@example.net,255.562.588-72,19,F,divorciado,ES,5818.37,email,8,163.81,18,True,0.8,0
U124,Igor Mendes,igormend124@example.com,210.469.632-10,56,M,divorciado,DF,2863.61,site,4,181.52,137,False,0.37,0
U125,Sra. Rafa Mendes,srarafam125@example.org,470.168.733-23,38,Outro,divorciado,AL,3347.12,app,3,288.61,112,False,0.34,0
U126,Sr. Paula Gomes,srpaulag126@example.net,748.016.245-61,57,M,divorciado,AL,2087.36,email,2,449.01,159,False,0.41,0
U127,Thiago Castro,thiagoca127@example.com,584.168.784-04,26,Outro,solteiro,BA,4857.09,app,5,375.82,127,True,0.47,1
U128,Sra. Lívia Martins,sralviam128@example.org,852.398.680-42,60,F,solteiro,BA,3301.42,whatsapp,4,126.69,215,True,0.28,0
U129,Sra. Rafa Mendes,srarafam129@example.com,982.595.269-56,29,Outro,divorciado,RJ,7362.39,whatsapp,5,165.2,130,True,0.63,1
U130,Sra. Thiago Pereira,srathiag130@example.org,055.169.409-23,67,M,divorciado,RS,3639.45,site,3,273.65,178,True,0.46,0
U131,Thiago Mendes,thiagome131@example.com,896.230.913-03,40,F,viúvo,MT,7949.6,email,7,113.04,212,True,0.76,1
U132,Dr. Nina Araujo,drninaar132@example.com,689.702.838-03,30,M,viúvo,PE,3415.11,email,6,375.75,117,False,0.53,0
U133,Sr. Felipe Mendes,srfelipe133@example.net,585.497.334-07,37,Outro,divorciado,ES,4601.69,whatsapp,5,306.45,27,True,0.31,0
U134,Sr. Gustavo Araujo,srgustav134@example.net,757.584.419-88,71,Outro,viúvo,MG,5342.08,whatsapp,11,174.34,181,True,0.19,0
U135,Dr. Júlia Silva,drjliasi135@example.org,157.473.384-20,60,Outro,divorciado,BA,5202.82,app,3,228.89,125,True,0.3,0
U136,Dr. Helena Silva,drhelena136@example.net,833.016.571-09,20,Outro,casado,AC,4621.81,site,6,540.54,89,True,0.5,0
U137,Sra. Yasmin Mendes,srayasmi137@example.org,345.401.938-99,30,Outro,solteiro,CE,6766.41,email,5,146.88,194,False,0.33,0
U138,Dr. Bruno Rocha,drbrunor138@example.org,724.004.991-44,40,M,divorciado,PB,4903.74,email,5,146.73,224,False,0.33,1
U139,Dr. Rafa Mendes,drrafame139@example.org,315.274.205-31,55,M,casado,CE,3390.88,email,6,320.93,168,False,0.29,1
U140,Sra. Rafa Rodrigues,srarafar140@example.com,612.275.304-12,68,M,casado,PB,4531.2,whatsapp,5,140.1,122,False,0.44,0
U141,Sr. Júlia Gomes,srjliago141@example.net,904.530.174-10,31,F,viúvo,RO,3528.84,whatsapp,8,354.85,198,True,0.73,1
U142,Yasmin Pereira,yasminpe142@example.org,933.272.795-35,19,M,viúvo,SP,3331.33,site,8,522.3,142,False,0.69,0
U143,Dr. Zeca Martins,drzecama143@example.net,187.851.910-78,57,Outro,casado,RJ,4429.62,site,7,185.54,6,True,0.15,1
U144,Dr. Kaio Rocha,drkaioro144@example.net,713.971.870-93,30,M,casado,PE,213.72,email,7,276.58,104,True,0.38,0
U145,Sra. Thiago Silva,srathiag145@example.net,740.640.391-73,53,F,viúvo,MS,5249.46,app,2,275.22,125,False,0.21,0
U146,Carla Mendes,carlamen146@example.com,462.265.676-00,26,M,solteiro,RO,6488.89,site,6,313.6,211,True,0.43,1
U147,Sr. Diego Oliveira,srdiegoo147@example.net,682.300.478-98,58,M,viúvo,TO,3586.68,site,1,153.2,101,False,0.38,0
U148,Dr. Otávio Rodrigues,drotvior148@example.com,431.069.033-50,68,F,solteiro,RN,4970.56,app,6,308.6,298,False,0.2,0
U149,Sra. Vera Barbosa,sraverab149@example.net,030.673.830-95,67,F,divorciado,ES,5430.07,whatsapp,6,255.97,80,True,0.29,0
U150,Sr. Helena Pereira,srhelena150@example.com,836.440.892-56,66,Outro,viúvo,PI,4157.87,email,2,143.62,105,False,0.18,1
U151,Lívia Barbosa,lviabarb151@example.net,685.662.462-09,57,Outro,viúvo,ES,4855.6,site,9,563.83,238,False,0.71,0
U152,Sr. Eva Martins,srevamar152@example.org,086.688.263-44,23,M,casado,MT,4293.4,app,5,249.6,98,True,0.6,1
U153,Sra. Lívia Souza,sralvias153@example.net,304.699.013-81,21,Outro,casado,PR,5703.4,site,7,206.97,105,False,0.33,0
U154,Sr. Júlia Silva,srjliasi154@example.com,317.393.638-84,34,M,divorciado,MG,2941.31,email,5,449.08,16,False,0.07,0
U155,Sr. Júlia Pereira,srjliape155@example.org,877.175.355-99,59,M,solteiro,RJ,311.22,site,4,396.05,288,True,0.13,0
U156,Dr. Ana Pereira,dranaper156@example.net,996.423.536-44,20,Outro,casado,PR,4684.45,whatsapp,6,244.43,125,False,0.38,0
U157,Sr. Paula Araujo,srpaulaa157@example.net,772.522.872-11,29,Outro,solteiro,PE,3675.45,app,8,187.45,27,True,0.17,0
U158,Zeca Silva,zecasilv158@example.com,623.120.387-57,70,M,solteiro,RN,3106.65,email,7,151.09,122,False,0.04,1
U159,Sra. Ana Silva,sraanasi159@example.net,860.084.840-70,69,Outro,viúvo,SE,4891.39,site,2,272.85,187,False,0.58,1
U160,Diego Castro,diegocas160@example.com,339.845.461-57,43,M,viúvo,PB,5878.72,site,7,289.87,200,True,0.35,0
U161,Dr. Júlia Barbosa,drjliaba161@example.com,016.668.700-64,56,Outro,casado,AP,3947.17,email,4,189.62,120,False,0.85,1
U162,Sra. Yasmin Martins,srayasmi162@example.org,918.033.974-38,70,F,solteiro,RO,5478.3,whatsapp,2,341.89,114,True,0.4,0
U163,Felipe Rocha,felipero163@example.org,039.261.429-44,66,F,viúvo,RO,4761.93,whatsapp,4,333.73,170,False,0.52,1
U164,Sra. Eva Martins,sraevama164@example.net,185.016.315-40,45,Outro,viúvo,SP,3938.6,whatsapp,9,360.75,234,True,0.62,0
U165,Yasmin Pereira,yasminpe165@example.org,735.866.296-21,51,F,divorciado,SE,2805.23,site,5,436.81,134,False,0.5,0
U166,Carla Pereira,carlaper166@example.com,626.551.104-12,32,M,divorciado,SP,2716.01,whatsapp,15,294.43,33,False,0.37,0
U167,Eva Souza,evasouza167@example.com,678.886.101-37,50,M,solteiro,RN,2884.51,whatsapp,7,37.18,65,True,0.51,0
U168,Sra. Ana Pereira,sraanape168@example.org,618.398.262-82,55,F,divorciado,MA,7267.24,whatsapp,6,270.82,41,False,0.24,0
U169,Sra. Eva Souza,sraevaso169@example.com,646.471.543-78,63,Outro,viúvo,RN,3907.42,site,10,294.94,311,False,0.18,0
U170,Sra. Diego Oliveira,sradiego170@example.org,065.965.756-24,36,Outro,casado,MA,3445.35,whatsapp,4,175.99,92,False,0.13,1
U171,Dr. Paula Rodrigues,drpaular171@example.com,654.793.564-70,69,M,divorciado,AM,3319.66,site,5,447.89,160,True,0.05,0
U172,Dr. Zeca Martins,drzecama172@example.net,073.741.672-61,45,Outro,divorciado,ES,1826.03,whatsapp,3,30.83,17,False,0.24,1
U173,Dr. Nina Martins,drninama173@example.org,179.796.886-60,47,Outro,solteiro,SE,4762.13,whatsapp,4,402.34,136,False,0.88,1
U174,Diego Martins,diegomar174@example.com,529.096.561-01,30,F,solteiro,GO,5771.76,site,6,129.68,134,False,0.57,0
U175,Dr. Otávio Rodrigues,drotvior175@example.org,798.250.714-00,50,M,solteiro,AM,4194.81,site,11,157.65,171,False,0.15,0
U176,Sr. Júlia Rodrigues,srjliaro176@example.org,387.571.775-97,69,F,divorciado,AL,4199.8,app,3,65.71,129,True,0.47,1
U177,Kaio Barbosa,kaiobarb177@example.com,238.282.586-38,52,M,casado,SE,3249.96,email,8,376.13,166,True,0.4,0
U178,Dr. Felipe Barbosa,drfelipe178@example.net,660.937.966-12,28,F,casado,DF,5337.89,whatsapp,5,271.34,120,False,0.44,1
U179,Thiago Souza,thiagoso179@example.net,255.371.478-58,33,Outro,divorciado,RN,3570.66,email,6,228.85,197,False,0.67,0
U180,Sra. Thiago Souza,srathiag180@example.org,579.249.912-80,68,M,solteiro,ES,5001.0,whatsapp,3,209.54,77,True,0.65,0
U181,Felipe Rodrigues,felipero181@example.net,286.692.966-75,44,F,viúvo,RS,1726.68,site,2,261.1,110,False,0.79,0
U182,Dr. Paula Pereira,drpaulap182@example.com,257.905.072-80,67,F,viúvo,PI,5387.88,email,7,347.82,66,False,0.27,0
U183,Sra. Zeca Mendes,srazecam183@example.org,772.190.340-83,36,M,casado,PI,7075.65,whatsapp,4,275.14,92,True,0.17,0
U184,Dr. Otávio Gomes,drotviog184@example.net,788.191.485-87,37,Outro,solteiro,SP,2236.71,email,6,32.59,129,False,1.5,0
U185,Dr. Nina Souza,drninaso185@example.net,340.745.171-75,60,F,casado,SE,6108.84,whatsapp,8,310.59,112,True,0.45,0
U186,Sra. Felipe Gomes,srafelip186@example.com,330.958.498-42,70,F,divorciado,RR,5955.39,whatsapp,5,397.11,121,False,0.22,1
U187,Sr. Thiago Pereira,srthiago187@example.net,126.042.232-10,27,Outro,divorciado,TO,5143.26,site,3,369.46,62,False,0.53,0
U188,Sra. Paula Oliveira,srapaula188@example.net,123.456.789-00,70,Outro,divorciado,PB,4998.28,email,7,47.96,233,False,0.16,1
U189,Sr. Thiago Silva,srthiago189@example.net,175.186.363-87,32,M,divorciado,MT,4262.22,whatsapp,7,220.63,81,True,0.04,0
U190,Sr. Sofia Gomes,srsofiag190@example.com,975.001.701-30,66,F,viúvo,PB,2215.64,app,4,429.19,65,False,0.56,0
U191,Sra. Gustavo Araujo,sragusta191@example.com,424.154.152-60,31,F,viúvo,RS,4714.42,whatsapp,8,236.53,140,False,0.08,0
U192,Dr. Nina Barbosa,drninaba192@example.com,103.712.938-55,46,Outro,viúvo,AC,6990.7,app,6,539.72,185,True,0.24,1
U193,Sr. Diego Rocha,srdiegor193@example.org,271.361.115-60,18,M,divorciado,BA,3667.46,email,5,209.46,129,False,0.65,1
U194,Dr. Yasmin Barbosa,dryasmin194@example.com,189.092.753-83,40,Outro,casado,PA,3543.58,telefone,4,239.55,121,False,0.65,0
U195,Dr. Carla Souza,drcarlas195@example.com,196.565.234-40,21,Outro,solteiro,ES,2286.89,whatsapp,7,245.72,48,False,0.35,0
U196,Zeca Pereira,zecapere196@example.com,898.364.037-52,63,M,solteiro,ES,7062.41,email,4,123.4,84,True,0.34,1
U197,Rafa Silva,rafasilv197@example.org,526.965.827-50,50,F,solteiro,RJ,4806.91,app,5,363.09,136,False,0.06,0
XYZ,Igor Santos,igorsant198@example.com,068.486.661-73,27,Outro,casado,GO,2234.15,app,3,197.31,82,False,0.66,1
